symbol,month,average_price,highest_price,lowest_price,price_range
SOLUSDT,2024-11,216.33,257.31,160.57,96.74000000000001
SOLUSDT,2024-12,211.89,241.01,181.61,59.39999999999998
SOLUSDT,2025-01,221.98,271.36,176.37,94.99000000000001
SOLUSDT,2025-02,182.9,227.25,133.99,93.25999999999999
SOLUSDT,2025-03,134.79,171.41,117.59,53.81999999999999
USDCUSDT,2018-12,1.0,1.01,0.99,0.020000000000000018
USDCUSDT,2019-01,1.0,1.01,0.98,0.030000000000000027
USDCUSDT,2019-02,1.01,1.02,1.0,0.020000000000000018
USDCUSDT,2019-03,1.0,1.01,1.0,0.010000000000000009
USDCUSDT,2019-04,1.0,1.03,0.99,0.040000000000000036
USDCUSDT,2019-05,1.0,1.02,0.99,0.030000000000000027
USDCUSDT,2019-06,1.0,1.02,0.99,0.030000000000000027
USDCUSDT,2019-07,1.0,1.0,0.99,0.010000000000000009
USDCUSDT,2019-08,1.0,1.0,1.0,0.0
USDCUSDT,2019-09,1.0,1.0,1.0,0.0
USDCUSDT,2019-10,1.0,1.0,1.0,0.0
USDCUSDT,2019-11,1.0,1.0,1.0,0.0
USDCUSDT,2019-12,1.0,1.0,1.0,0.0
USDCUSDT,2020-01,1.0,1.0,1.0,0.0
USDCUSDT,2020-02,1.0,1.0,1.0,0.0
USDCUSDT,2020-03,1.0,1.0,1.0,0.0
USDCUSDT,2020-04,1.0,1.0,1.0,0.0
USDCUSDT,2020-05,1.0,1.0,1.0,0.0
USDCUSDT,2020-06,1.0,1.0,1.0,0.0
USDCUSDT,2020-07,1.0,1.0,1.0,0.0
USDCUSDT,2020-08,1.0,1.0,1.0,0.0
USDCUSDT,2020-09,1.0,1.0,1.0,0.0
USDCUSDT,2020-10,1.0,1.0,1.0,0.0
USDCUSDT,2020-11,1.0,1.0,1.0,0.0
USDCUSDT,2020-12,1.0,1.0,1.0,0.0
USDCUSDT,2021-01,1.0,1.0,1.0,0.0
USDCUSDT,2021-02,1.0,1.0,1.0,0.0
USDCUSDT,2021-03,1.0,1.0,1.0,0.0
USDCUSDT,2021-04,1.0,1.0,1.0,0.0
USDCUSDT,2021-05,1.0,1.0,1.0,0.0
USDCUSDT,2021-06,1.0,1.0,1.0,0.0
USDCUSDT,2021-07,1.0,1.0,1.0,0.0
USDCUSDT,2021-08,1.0,1.0,1.0,0.0
USDCUSDT,2021-09,1.0,1.0,1.0,0.0
USDCUSDT,2021-10,1.0,1.0,1.0,0.0
USDCUSDT,2021-11,1.0,1.0,1.0,0.0
USDCUSDT,2021-12,1.0,1.0,1.0,0.0
USDCUSDT,2022-01,1.0,1.0,1.0,0.0
USDCUSDT,2022-02,1.0,1.0,1.0,0.0
USDCUSDT,2022-03,1.0,1.0,1.0,0.0
USDCUSDT,2022-04,1.0,1.0,1.0,0.0
USDCUSDT,2022-05,1.0,1.0,1.0,0.0
USDCUSDT,2022-06,1.0,1.0,1.0,0.0
USDCUSDT,2022-07,1.0,1.0,1.0,0.0
USDCUSDT,2022-08,1.0,1.0,1.0,0.0
USDCUSDT,2022-09,1.0,1.0,1.0,0.0
USDCUSDT,2023-03,0.99,1.0,0.94,0.06000000000000005
USDCUSDT,2023-04,1.0,1.0,1.0,0.0
USDCUSDT,2023-05,1.0,1.0,1.0,0.0
USDCUSDT,2023-06,1.0,1.0,1.0,0.0
USDCUSDT,2023-07,1.0,1.0,1.0,0.0
USDCUSDT,2023-08,1.0,1.0,1.0,0.0
USDCUSDT,2023-09,1.0,1.0,1.0,0.0
USDCUSDT,2023-10,1.0,1.0,1.0,0.0
USDCUSDT,2023-11,1.0,1.0,1.0,0.0
USDCUSDT,2023-12,1.0,1.0,1.0,0.0
USDCUSDT,2024-01,1.0,1.0,1.0,0.0
USDCUSDT,2024-02,1.0,1.0,1.0,0.0
USDCUSDT,2024-03,1.0,1.0,1.0,0.0
USDCUSDT,2024-04,1.0,1.0,1.0,0.0
USDCUSDT,2024-05,1.0,1.0,1.0,0.0
USDCUSDT,2024-06,1.0,1.0,1.0,0.0
USDCUSDT,2024-07,1.0,1.0,1.0,0.0
USDCUSDT,2024-08,1.0,1.0,1.0,0.0
USDCUSDT,2024-09,1.0,1.0,1.0,0.0
USDCUSDT,2024-10,1.0,1.0,1.0,0.0
USDCUSDT,2024-11,1.0,1.0,1.0,0.0
USDCUSDT,2024-12,1.0,1.0,1.0,0.0
USDCUSDT,2025-01,1.0,1.0,1.0,0.0
USDCUSDT,2025-02,1.0,1.0,1.0,0.0
USDCUSDT,2025-03,1.0,1.0,1.0,0.0
